game_id,club_id,own_goals,own_position,opponent_id,opponent_goals,opponent_position,result,home_total_market_value,home_key_players,away_total_market_value,away_key_players,home_position_to_goal,away_position_to_goal,home_win_h2h,away_win_h2h,draw_h2h,home_win_h2h_d,away_win_h2h_d,home_home_win,away_away_win,home_last_5_game_win,home_last_5_game_lose,home_last_5_game_draw,away_last_5_game_win,away_last_5_game_lose,away_last_5_game_draw,date
2872168,29,2,14.0,989,1,19.0,1,413.0,0.2,414.0,0.0,0.1428571428571428,0.0526315789473684,0.4375,0.4375,0.125,0.375,0.0625,0.8,0.2,0.0,0.8,0.2,0.0,1.0,0.0,2017-09-23
2332177,29,2,6.0,873,3,10.0,0,413.0,0.0,431.0,0.0,0.3333333333333333,0.3,0.4,0.16,0.44,0.24,0.16,1.0,0.2,1.0,0.0,0.0,0.2,0.8,0.0,2014-04-16
3219083,29,3,6.0,543,2,17.0,1,413.0,0.2,410.0,0.4,0.5,0.1176470588235294,0.25,0.5833333333333334,0.1666666666666666,0.1666666666666666,0.0833333333333333,1.0,0.6,0.4,0.2,0.4,0.6,0.2,0.2,2019-09-01
3219435,29,1,9.0,1010,0,20.0,1,413.0,0.2,55.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0833333333333333,0.8,0.2,0.4,0.0,0.6,0.2,0.8,0.0,2019-08-17
2872148,29,0,16.0,148,3,5.0,0,413.0,0.2,827.0,0.2,0.0,0.6,0.12,0.44,0.44,0.08,0.04,0.8,0.8,0.4,0.2,0.4,0.4,0.6,0.0,2017-09-09
2332308,29,2,5.0,985,0,7.0,1,413.0,0.0,793.0,0.0,0.4,0.0,0.2307692307692307,0.5384615384615384,0.2307692307692307,0.1923076923076923,0.0384615384615384,0.8,0.6,0.8,0.2,0.0,0.4,0.6,0.0,2014-04-20
4095393,29,1,15.0,1132,0,19.0,1,413.0,0.8,288.0,0.4,0.0666666666666666,0.0,0.5882352941176471,0.3529411764705882,0.0588235294117647,0.4117647058823529,0.1764705882352941,0.2,0.0,0.0,0.6,0.4,0.0,0.4,0.6,2024-04-06
3429786,29,1,8.0,873,1,12.0,2,413.0,0.0,431.0,0.2,0.125,0.0833333333333333,0.4,0.16,0.44,0.24,0.16,0.2,0.4,0.4,0.6,0.0,0.2,0.8,0.0,2021-04-05
2332090,29,0,7.0,148,0,4.0,2,413.0,0.0,827.0,0.0,0.0,0.0,0.12,0.44,0.44,0.08,0.04,0.8,0.8,0.8,0.2,0.0,0.6,0.4,0.0,2013-11-03
2225750,29,2,6.0,1039,0,19.0,1,413.0,0.0,10.0,0.2,0.3333333333333333,0.0,0.8,0.0,0.2,0.6,0.2,0.8,0.2,0.6,0.2,0.2,0.0,1.0,0.0,2013-04-13
3219417,29,0,14.0,350,2,10.0,0,413.0,0.2,154.0,0.0,0.0,0.2,0.4,0.4,0.2,0.0,0.4,1.0,0.2,0.4,0.4,0.2,0.0,0.6,0.4,2019-09-21
2230144,29,1,7.0,985,0,16.0,1,413.0,0.0,793.0,0.0,0.1428571428571428,0.0,0.2307692307692307,0.5384615384615384,0.2307692307692307,0.1923076923076923,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012-08-20
2486543,29,3,13.0,405,0,12.0,1,413.0,0.0,707.0,0.0,0.2307692307692307,0.0,0.3684210526315789,0.4210526315789473,0.2105263157894736,0.1578947368421052,0.2105263157894736,0.2,0.4,0.2,0.4,0.4,0.2,0.8,0.0,2014-10-18
3050478,29,2,11.0,631,0,5.0,1,413.0,0.2,1004.0,0.0,0.1818181818181818,0.0,0.32,0.48,0.2,0.32,0.0,0.4,0.6,0.2,0.6,0.2,0.6,0.2,0.2,2019-03-17
