game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,attendance,home_club_formation,away_club_formation,home_club_name,away_club_name,result,home_team_points,away_team_points,home_attack_value,home_attack_count,away_attack_value,away_attack_count,home_midfield_value,home_midfield_count,away_midfield_value,away_midfield_count,home_defender_value,home_defender_count,away_defender_value,away_defender_count,home_goalkeeper_value,home_goalkeeper_count,away_goalkeeper_value,away_goalkeeper_count,home_total_market_value,away_total_market_value
4126780,TR1,2023,1. Matchday,2023-08-11,449,589,1,0,6.0,15.0,30692.0,4-3-3 Attacking,4-2-3-1,Trabzonspor Kulübü,Antalyaspor,1,0,0,70000000.0,4,32500000.0,4,35950000.0,5,3500000.0,2,21200000.0,3,30400000.0,5,19000000.0,1,7000000.0,1,277.0,94.6
4126783,TR1,2023,1. Matchday,2023-08-12,2293,924,1,1,10.0,19.0,5552.0,4-2-3-1,4-2-3-1,Konyaspor,İstanbulspor A.Ş.,0,0,0,3800000.0,2,7300000.0,3,25700000.0,4,2925000.0,5,8000000.0,5,2700000.0,4,0.0,0,2500000.0,1,96.4,19.4
4126775,TR1,2023,1. Matchday,2023-08-12,3209,7775,1,5,18.0,1.0,1269.0,4-4-2 double 6,4-3-3 Attacking,Pendikspor,Hatayspor Futbol Kulübü,2,0,0,13900000.0,4,13800000.0,3,450000.0,1,6150000.0,5,14600000.0,5,4600000.0,4,400000.0,1,600000.0,1,74.9,89.0
4126776,TR1,2023,1. Matchday,2023-08-12,10484,868,3,2,3.0,12.0,2256.0,4-2-3-1,3-4-2-1,Kasımpaşa Spor Kulübü,Makina ve Kimya Endüstrisi Ankaragücü Spor Kulübü,1,0,0,3950000.0,3,6500000.0,3,10000000.0,4,9600000.0,4,10500000.0,3,8800000.0,6,1500000.0,1,0.0,0,53.0,85.0
4126774,TR1,2023,1. Matchday,2023-08-12,3205,141,0,0,20.0,11.0,15993.0,4-2-3-1,4-2-3-1,Kayserispor Kulübü,Galatasaray Spor Kulübü,0,0,0,15200000.0,4,246300000.0,7,4650000.0,4,56500000.0,3,10250000.0,6,102000000.0,5,3000000.0,1,18000000.0,1,63.6,638.2
4126778,TR1,2023,1. Matchday,2023-08-13,3840,126,2,1,4.0,14.0,7488.0,4-2-3-1,4-2-3-1,Adana Demirspor Kulübü,Çaykur Rizespor Kulübü,1,0,0,66850000.0,5,3000000.0,3,24500000.0,3,4700000.0,3,14500000.0,4,7575000.0,6,750000.0,1,3200000.0,1,161.4,66.2
4126782,TR1,2023,1. Matchday,2023-08-13,2381,152,1,1,9.0,8.0,6311.0,4-1-4-1,3-1-4-2,Sivasspor Kulübü,Samsunspor,0,0,0,20600000.0,3,9100000.0,3,11200000.0,4,25550000.0,5,6250000.0,4,15800000.0,5,800000.0,1,1300000.0,1,59.6,103.0
4126781,TR1,2023,1. Matchday,2023-08-13,36,2832,2,1,5.0,13.0,38753.0,4-3-3 Attacking,4-2-3-1,Fenerbahçe Spor Kulübü,Gaziantep Futbol Kulübü A.Ş.,1,0,0,126000000.0,5,30725000.0,4,39500000.0,4,10500000.0,3,65200000.0,6,8500000.0,3,16000000.0,1,800000.0,1,475.6,95.4
4126779,TR1,2023,1. Matchday,2023-08-14,6646,114,0,1,16.0,7.0,1134.0,4-2-3-1,4-3-3 Attacking,Fatih Karagümrük Sportif Faaliyetler San. Tic. A.Ş.,Beşiktaş Jimnastik Kulübü,2,0,0,5100000.0,2,72000000.0,4,24550000.0,5,41500000.0,4,11000000.0,4,50300000.0,6,0.0,0,5000000.0,1,120.0,358.4
4126777,TR1,2023,1. Matchday,2023-08-14,11282,6890,2,0,2.0,17.0,3030.0,4-3-3 Attacking,4-3-3 Attacking,Alanyaspor,İstanbul Başakşehir Futbol Kulübü,1,0,0,9700000.0,4,54700000.0,5,21900000.0,7,15400000.0,3,7000000.0,3,24050000.0,4,2800000.0,1,1200000.0,1,78.3,158.0
4126790,TR1,2023,2. Matchday,2023-08-18,589,2293,1,1,13.0,11.0,8396.0,4-2-3-1,4-2-3-1,Antalyaspor,Konyaspor,0,0,1,23500000.0,3,3800000.0,2,8800000.0,4,26700000.0,5,35500000.0,5,5300000.0,4,7000000.0,1,0.0,0,94.6,96.4
4126785,TR1,2023,2. Matchday,2023-08-18,924,3205,1,1,19.0,20.0,657.0,4-2-3-1,4-2-3-1,İstanbulspor A.Ş.,Kayserispor Kulübü,0,1,1,7775000.0,4,15200000.0,4,2425000.0,4,4650000.0,4,3825000.0,3,6750000.0,5,2500000.0,1,3000000.0,1,19.4,63.6
4126784,TR1,2023,2. Matchday,2023-08-19,7775,10484,0,0,2.0,6.0,7724.0,4-3-3 Attacking,4-2-3-1,Hatayspor Futbol Kulübü,Kasımpaşa Spor Kulübü,0,3,3,18300000.0,4,3950000.0,3,7650000.0,6,10175000.0,5,4000000.0,3,10500000.0,3,600000.0,1,1500000.0,1,89.0,53.0
4126793,TR1,2023,2. Matchday,2023-08-19,126,11282,0,0,14.0,5.0,3431.0,4-2-3-1,4-3-3 Attacking,Çaykur Rizespor Kulübü,Alanyaspor,0,0,3,5500000.0,4,9700000.0,4,4700000.0,3,17000000.0,5,5975000.0,4,16600000.0,5,3200000.0,1,2800000.0,1,66.2,78.3
