game_id,club_id,own_goals,own_position,opponent_id,opponent_goals,opponent_position,home_result,away_result,home_total_market_value,home_key_players,away_total_market_value,away_key_players,home_position_to_goal,away_position_to_goal,home_win_h2h,away_win_h2h,draw_h2h,home_win_h2h_d,away_win_h2h_d,draw_h2h_d,home_home_win,away_away_win,home_last_5_game_win,home_last_5_game_lose,home_last_5_game_draw,away_last_5_game_win,away_last_5_game_lose,away_last_5_game_draw
4126816,6646,1,9.0,868,1,14.0,2,0.0,24825000.0,0.4,34675000.0,0.6,0.1111111111111111,0.07142857142857142,0.4,0.4,0.4,0.0,0.0,0.4,0.4,0.6,0.6,0.2,0.2,0.2,0.8,0.0
4126814,11282,0,7.0,7775,0,4.0,2,0.0,25125000.0,0.2,26750000.0,0.4,0.0,0.0,0.6,0.4,0.6,0.0,0.0,0.6,0.4,0.2,0.4,0.4,0.2,0.2,0.8,0.0
4126830,126,1,6.0,6646,0,12.0,1,1.0,31275000.0,0.8,24825000.0,0.4,0.16666666666666666,0.0,0.2,0.6,0.4,0.0,0.0,0.2,0.4,0.4,0.2,0.6,0.2,0.4,0.2,0.4
4126823,10484,1,11.0,449,5,8.0,0,2.0,27925000.0,0.6,98875000.0,0.2,0.09090909090909091,0.625,1.4,2.0,1.4,0.0,0.0,1.4,0.4,0.2,0.2,0.4,0.4,0.0,0.8,0.2
4126827,589,1,15.0,3205,1,14.0,2,0.0,26975000.0,0.6,29350000.0,0.2,0.06666666666666667,0.07142857142857142,1.4,1.2,1.8,0.0,0.0,1.4,0.2,0.0,0.2,0.4,0.4,0.0,0.4,0.6
4126825,2832,0,18.0,141,3,2.0,0,2.0,22325000.0,0.4,193625000.0,0.8,0.0,1.5,0.2,1.6,0.2,0.0,0.0,0.2,0.0,0.6,0.0,1.0,0.0,0.4,0.2,0.4
4126822,3209,1,16.0,11282,1,9.0,2,0.0,20575000.0,0.6,25125000.0,0.4,0.0625,0.1111111111111111,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.2,0.6,0.2
4126826,6890,0,19.0,2293,1,4.0,0,2.0,44200000.0,0.8,26500000.0,0.6,0.0,0.25,1.8,0.6,1.6,0.0,0.0,1.8,0.6,0.4,0.6,0.4,0.0,0.0,0.6,0.4
4126829,868,0,17.0,36,1,1.0,0,2.0,34675000.0,0.6,201450000.0,0.6,0.0,1.0,0.4,1.4,0.2,0.0,0.0,0.4,0.0,0.8,0.2,0.4,0.4,0.8,0.0,0.2
4126828,114,2,5.0,2381,0,10.0,1,1.0,138725000.0,0.2,20125000.0,0.4,0.4,0.0,2.4,1.6,0.4,0.0,0.0,2.4,0.6,0.4,0.8,0.0,0.2,0.2,0.6,0.2
4126821,7775,3,7.0,3840,3,3.0,2,0.0,26750000.0,0.4,38625000.0,0.4,0.42857142857142855,1.0,0.2,0.4,0.6,0.0,0.0,0.2,0.0,0.2,0.2,0.4,0.4,0.0,0.4,0.6
4129462,2293,1,6.0,126,2,4.0,0,2.0,26500000.0,0.6,31275000.0,1.0,0.16666666666666666,0.5,1.0,1.2,1.4,0.0,0.0,1.0,0.4,0.6,0.4,0.0,0.6,0.2,0.4,0.4
4129457,3840,3,3.0,3209,0,17.0,1,1.0,38625000.0,0.4,20575000.0,0.6,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.6,0.4,0.0,0.6,0.4
4129455,141,4,2.0,152,2,15.0,1,1.0,193625000.0,0.8,33225000.0,0.6,2.0,0.13333333333333333,0.4,0.0,0.0,0.0,0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.8,0.2
4129453,3205,2,10.0,2832,0,19.0,1,1.0,29350000.0,0.2,22325000.0,0.6,0.2,0.0,0.6,0.4,1.0,0.0,0.0,0.6,0.4,0.0,0.2,0.0,0.8,0.0,0.8,0.2
4129459,449,3,5.0,114,0,9.0,1,1.0,98875000.0,0.8,138725000.0,0.2,0.6,0.0,1.2,1.8,1.8,0.0,0.0,1.2,0.8,1.0,0.4,0.6,0.0,0.6,0.4,0.0
4129454,924,0,20.0,6890,2,18.0,0,2.0,7800000.0,0.8,44200000.0,0.8,0.0,0.1111111111111111,0.2,0.6,0.0,0.0,0.0,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.6,0.2
4129460,36,3,1.0,589,2,16.0,1,1.0,201450000.0,0.8,26975000.0,0.8,3.0,0.125,2.6,1.0,0.8,0.0,0.0,2.6,1.0,0.0,1.0,0.0,0.0,0.0,0.8,0.2
4129456,11282,3,8.0,10484,3,11.0,2,0.0,25125000.0,0.4,27925000.0,0.6,0.375,0.2727272727272727,1.2,1.6,0.4,0.0,0.0,1.2,0.4,0.4,0.2,0.2,0.6,0.2,0.4,0.4
4129458,6646,0,13.0,7775,0,7.0,2,0.0,24825000.0,0.4,26750000.0,0.8,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.6,0.4,0.2,0.4,0.4,0.2,0.2,0.4,0.4
4129461,2381,1,14.0,868,3,12.0,0,2.0,20125000.0,0.4,34675000.0,0.6,0.07142857142857142,0.25,1.0,0.6,0.4,0.0,0.0,1.0,0.2,0.4,0.2,0.2,0.6,0.0,0.2,0.8
4129467,2832,2,18.0,924,0,20.0,1,1.0,22325000.0,0.6,7800000.0,1.0,0.1111111111111111,0.0,0.4,0.2,0.2,0.0,0.0,0.4,0.0,0.4,0.0,1.0,0.0,0.2,0.6,0.2
4129464,3209,1,17.0,6646,1,14.0,2,0.0,20575000.0,0.6,24825000.0,0.6,0.058823529411764705,0.07142857142857142,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.6,0.2,0.4,0.4
4129469,589,2,13.0,152,0,16.0,1,1.0,26975000.0,0.8,33225000.0,0.8,0.15384615384615385,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.6,0.0,0.4,0.6
4129472,126,1,4.0,2381,1,15.0,2,0.0,31275000.0,1.0,20125000.0,0.4,0.25,0.06666666666666667,0.8,0.8,1.6,0.0,0.0,0.8,0.4,0.4,0.6,0.2,0.2,0.2,0.6,0.2
4129468,6890,1,19.0,141,2,2.0,0,2.0,44200000.0,0.8,193625000.0,0.8,0.05263157894736842,1.0,1.0,2.2,1.2,0.0,0.0,1.0,0.4,0.6,0.4,0.6,0.0,0.4,0.4,0.2
4129470,114,2,6.0,3205,1,11.0,1,1.0,138725000.0,0.0,29350000.0,0.4,0.3333333333333333,0.09090909090909091,3.2,0.4,0.8,0.0,0.0,3.2,0.8,0.0,0.6,0.2,0.2,0.0,0.4,0.6
4129465,10484,2,9.0,3840,1,3.0,1,1.0,27925000.0,0.6,38625000.0,0.4,0.2222222222222222,0.3333333333333333,0.6,0.4,0.2,0.0,0.0,0.6,0.4,0.0,0.2,0.2,0.6,0.0,0.4,0.6
4129466,11282,0,10.0,36,1,1.0,0,2.0,25125000.0,0.6,201450000.0,0.6,0.0,1.0,0.6,1.8,0.8,0.0,0.0,0.6,0.2,1.0,0.2,0.0,0.8,0.6,0.0,0.4
4129471,868,1,12.0,2293,1,8.0,2,0.0,34675000.0,0.6,26500000.0,0.8,0.08333333333333333,0.125,0.4,0.6,1.0,0.0,0.0,0.4,0.0,0.4,0.2,0.4,0.4,0.2,0.2,0.6
4129463,7775,3,5.0,449,2,7.0,1,1.0,26750000.0,0.8,98875000.0,0.8,0.6,0.2857142857142857,0.4,0.8,0.4,0.0,0.0,0.4,0.0,0.4,0.2,0.0,0.8,0.2,0.4,0.4
4126812,924,0,20.0,141,1,3.0,0,2.0,7800000.0,0.8,193625000.0,0.8,0.0,0.3333333333333333,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.8,0.2,0.4,0.4,0.6,0.2,0.2
4126815,3840,4,2.0,114,2,11.0,1,1.0,38625000.0,0.4,138725000.0,0.0,2.0,0.18181818181818182,0.2,0.4,0.6,0.0,0.0,0.2,0.8,0.8,0.2,0.6,0.2,0.4,0.6,0.0
